
Timeout                                  :5
Think Time                               :4
Number of Requests                       :300
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.75
Round Robin Quantum Time                 :0.3
Interarrival Mean Time                   :0.05
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
3.02943				14.00000				Departure				1				Web Server				DBMS Server				
3.13186				13.00000				Scheduling				3				Web Server				Web Server				
3.13186				2.00000				Scheduling				3				Web Server				Web Server				
3.15142				14.00000				Arrival					3				DBMS Server				Web Server				
3.23435				31.00000				Departure				1				Web Server				DBMS Server				
3.24273				38.00000				Arrival					3				DBMS Server				Web Server				
3.24273				31.00000				Arrival					3				DBMS Server				Web Server				
3.24781				15.00000				Scheduling				3				Web Server				Web Server				
3.25168				32.00000				Departure				NA				Web Server				Client Station				
3.25168				13.00000				Scheduling				2				Web Server				Web Server				
3.34552				7.00000				Arrival					2				DBMS Server				Web Server				
3.38980				19.00000				Arrival					2				DBMS Server				Web Server				
3.41531				2.00000				Departure				0				Web Server				DBMS Server				
3.41816				40.00000				Arrival					2				DBMS Server				Web Server				
3.43186				14.00000				Scheduling				2				Web Server				Web Server				
3.44939				57.00000				Departure				0				Web Server				DBMS Server				
3.53435				31.00000				Scheduling				2				Web Server				Web Server				
3.53435				38.00000				Scheduling				2				Web Server				Web Server				
3.54814				15.00000				Departure				0				Web Server				DBMS Server				
3.55168				19.00000				Scheduling				2				Web Server				Web Server				
3.55168				7.00000				Scheduling				2				Web Server				Web Server				
3.57412				13.00000				Departure				0				Web Server				DBMS Server				
3.64298				38.00000				Departure				1				Web Server				DBMS Server				
3.68980				38.00000				Arrival					2				DBMS Server				Web Server				
3.71531				40.00000				Scheduling				2				Web Server				Web Server				
3.75793				13.00000				Arrival					2				DBMS Server				Web Server				
3.77169				14.00000				Departure				NA				Web Server				Client Station				
3.77169				7.00000				Scheduling				1				Web Server				Web Server				
3.83444				15.00000				Arrival					1				DBMS Server				Web Server				
3.85168				31.00000				Scheduling				1				Web Server				Web Server				
3.85343				2.00000				Arrival					1				DBMS Server				Web Server				
3.91975				57.00000				Arrival					1				DBMS Server				Web Server				
3.94298				38.00000				Scheduling				1				Web Server				Web Server				
4.01531				19.00000				Scheduling				1				Web Server				Web Server				
4.01531				13.00000				Scheduling				1				Web Server				Web Server				
4.04548				31.00000				Departure				NA				Web Server				Client Station				
4.04548				13.00000				Scheduling				0				Web Server				Web Server				
4.07169				15.00000				Scheduling				0				Web Server				Web Server				
4.07169				40.00000				Scheduling				0				Web Server				Web Server				
4.08524				13.00000				Departure				0				Web Server				DBMS Server				
4.10662				38.00000				Departure				NA				Web Server				Client Station				
4.11732				19.00000				Departure				NA				Web Server				Client Station				
